f1,shd,graph,function
0.6956521739130435,7,balanced,additive
0.5,14,balanced,linear
0.6956521739130435,7,balanced,non_diff
0.11764705882352941,45,set,additive
0.07272727272727274,51,set,linear
0.27692307692307694,47,set,non_diff
0.6956521739130435,7,unbalanced,additive
0.4166666666666667,14,unbalanced,linear
0.6956521739130435,7,unbalanced,non_diff
