f1,shd,graph,function
0.4444444444444445,15,balanced,additive
0.2962962962962963,19,balanced,linear
0.2962962962962963,19,balanced,non_diff
0.11320754716981132,47,set,additive
0.03773584905660377,51,set,linear
0.07547169811320754,49,set,non_diff
0.3703703703703704,17,unbalanced,additive
0.3703703703703704,17,unbalanced,linear
0.3703703703703704,17,unbalanced,non_diff
